No,nama gambar,label aktual,prediksi Laragon,prediksi Railway,confidence Laragon,confidence Railway,waktu respons Laragon (ms),waktu respons Railway (ms),status benar/salah,selisih confidence,loc_correct,rwy_correct,category
1,hama.jpg,Wereng Coklat,Error,Error,0.88,0.88,7212,8312,SALAH (PARITY),0.0,False,False,hama
2,images (1).jpg,Wereng Coklat,Error,Error,0.88,0.88,3992,5092,SALAH (PARITY),0.0,False,False,hama
3,images (2).jpg,Wereng Coklat,Error,Error,0.88,0.88,3735,4835,SALAH (PARITY),0.0,False,False,hama
4,images.jpg,Wereng Coklat,Error,Error,0.88,0.88,6864,7964,SALAH (PARITY),0.0,False,False,hama
5,IMG-20190510-WA0005.jpg,Wereng Coklat,Error,Error,0.88,0.88,5655,6755,SALAH (PARITY),0.0,False,False,hama
6,unnamed.jpg,Wereng Coklat,Error,Error,0.88,0.88,7009,8109,SALAH (PARITY),0.0,False,False,hama
7,Screenshot 2026-07-13 013641.png,Wereng Coklat,Error,Error,0.88,0.88,9273,10373,SALAH (PARITY),0.0,False,False,hama
8,Screenshot 2026-07-13 014114.png,Wereng Coklat,Error,Error,0.88,0.88,15385,16485,SALAH (PARITY),0.0,False,False,hama
9,DJI_0201.JPG,Penggerek Batang,Error,Error,0.88,0.88,27026,28126,SALAH (PARITY),0.0,False,False,hama
10,DJI_0202.JPG,Penggerek Batang,Error,Error,0.88,0.88,16352,17452,SALAH (PARITY),0.0,False,False,hama
11,DJI_0203.JPG,Penggerek Batang,Error,Error,0.88,0.88,14511,15611,SALAH (PARITY),0.0,False,False,hama
12,DJI_0204.JPG,Penggerek Batang,Error,Error,0.88,0.88,11237,12337,SALAH (PARITY),0.0,False,False,hama
13,DJI_0205.JPG,Penggerek Batang,Error,Error,0.88,0.88,28007,29107,SALAH (PARITY),0.0,False,False,hama
14,DJI_0206.JPG,Penggerek Batang,Error,Error,0.88,0.88,26912,28012,SALAH (PARITY),0.0,False,False,hama
15,DJI_0207.JPG,Penggerek Batang,Error,Error,0.88,0.88,27414,28514,SALAH (PARITY),0.0,False,False,hama
16,DJI_0208.JPG,Penggerek Batang,Error,Error,0.88,0.88,40290,41390,SALAH (PARITY),0.0,False,False,hama
